"ASV","T1","T2","T3","T7","T8","T10","T12","T13","T15","T16","T17","T18","T22","T23","T25","T26","T27","T30","T32","T33","T34","S1","S2","S3","S7","S8","S10","S12","S13","S15","S16","S17","S18","S22","S23","S25","S26","S27","S30","S32","S33","S34","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV870",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV1067",0,0,1,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra dolichoptera complex sp. UO-2013"
"ASV1099",0,0,0,0,0,0,0,0,0,0,0,0,15,18,1,0,1,0,37,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV1485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1517",0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1695",19,0,20,0,0,0,0,0,0,0,28,11,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Synchaetidae","g__Polyarthra","s__Polyarthra sp. UO-2013"
"ASV1720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1937",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,48,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV1990",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta sp. TZ.2"
"ASV2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV2131",0,0,0,0,0,0,0,0,0,0,0,0,18,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV2144",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV2257",0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV2455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV2513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV2655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Pleuretra","s__Pleuretra lineata"
"ASV2689",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha lata"
"ASV2911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV2922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV2941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Euchlanidae","g__Euchlanis","s__Euchlanis dilatata"
"ASV2947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV2980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV3034",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV3280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta sp. FR.5"
"ASV3452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV3918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV4188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina haejooni"
"ASV4313",0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina megalotrocha"
"ASV4592",0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina sp. DDF-2018"
"ASV4604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV4760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV5271",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela quadricornifera"
"ASV5816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Adinetida","f__Adinetidae","g__Adineta","s__Adineta vaga"
"ASV5974",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Philodina","s__Philodina megalotrocha"
"ASV6036",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Macrotrachela","s__Macrotrachela papillosa"
