OTU ID,Group,Elevation,pH,SWC,NO3--N,NH4+-N,TC,TP,AP,MBN,AcP,LAP
T1,T,300,4.87,0.16,3.31,17.98,29.41,0.08,2.4,21.86,2770.17,9.46
T2,T,300,4.91,0.11,1.89,14.99,29.64,0.09,2.32,4.11,2491.6,8.65
T3,T,300,4.83,0.14,1.71,13.45,30.23,0.08,2.03,15.92,2495.59,8.87
T7,T,600,4.85,0.08,6.48,7.56,60.66,0.3,5.15,27.96,2707.42,9.68
T8,T,600,5.13,0.12,2.58,11.42,43.86,0.22,2.97,47.41,2785.45,8.97
T10,T,600,5.12,0.05,3.52,8.66,34.55,0.29,3.37,54.87,3618.19,8.31
T12,T,900,5.1,0.35,2.23,16.47,42.3,0.26,2.76,188.65,4514.36,15.83
T13,T,900,5.02,0.28,1.22,18.05,45.47,0.29,3.51,129.99,4717.39,15.3
T15,T,900,4.6,0.32,10.43,9.31,42.93,0.27,2.54,73.97,1836.58,15
T16,T,1200,4.24,0.31,2.16,31.9,91.65,0.2,2.04,78.26,7008.57,17.58
T17,T,1200,4.11,0.27,1.59,17.65,68.85,0.17,3.74,44.4,7274.03,16.01
T18,T,1200,4.51,0.36,3.4,64.53,103.29,0.17,4.72,78.17,7458.21,23.28
T22,T,1600,4.05,0.76,1.5,54.56,82.58,0.21,3.64,183.3,9554.72,32.58
T23,T,1600,3.84,0.72,1.46,42.14,83.81,0.22,4.19,114.22,10300.19,33.12
T25,T,1600,3.94,0.61,3.22,50.39,94.62,0.22,3.62,119.97,9021.5,29.62
T26,T,1800,4.64,0.09,6.38,15.64,67.03,0.53,3.87,112.43,1271.76,13.62
T27,T,1800,4.82,0.1,1.71,21.01,78.18,0.67,6.26,138.6,2346.68,13.45
T30,T,1800,4.85,0.07,2.57,16.96,71.07,0.48,7.23,126.02,925.12,13.78
T32,T,2100,4.92,0.5,1.5,15.38,91.66,1.49,7.02,211.17,1334.92,18.71
T33,T,2100,4.82,0.91,1.43,21.2,84.62,1.22,6.1,295.27,1500.04,24.16
T34,T,2100,4.89,0.77,1.42,20.8,77.21,0.96,6.01,302.47,1850.6,22.09
S1,S,300,4.91,0.18,3.13,13.04,22.51,0.06,1.54,17.74,1476.96,8.99
S2,S,300,4.88,0.17,1.64,8.54,18.16,0.06,1.22,2.9,1156.22,8.03
S3,S,300,4.77,0.17,1.52,10,19.26,0.06,1.68,4.13,1968.54,8.15
S7,S,600,4.84,0.07,4.07,6.42,55.83,0.33,4.46,30.2,1549.2,8.68
S8,S,600,5.29,0.07,1.77,8.08,34.95,0.21,2.12,36.54,1326.79,7.82
S10,S,600,5.22,0.09,1.91,8.23,27.48,0.23,2.44,40.45,1916.32,8.05
S12,S,900,5.16,0.27,1.65,8.06,27.5,0.25,1.51,63.78,1512.98,13.16
S13,S,900,5.13,0.27,1.14,9.97,35.76,0.28,1.33,64.21,2580.05,13.71
S15,S,900,4.71,0.3,4.94,7.87,30.72,0.24,1.74,66.11,1187.13,13.9
S16,S,1200,4.72,0.25,1.38,8.5,28.57,0.14,0.89,58.06,2624.3,13.13
S17,S,1200,4.51,0.29,1.55,9.35,34.13,0.13,1.01,39.42,2496.49,13.37
S18,S,1200,4.62,0.31,2.1,17.03,39.57,0.14,1.54,59.68,2793.11,14.71
S22,S,1600,4.74,0.48,1.26,11.91,45.22,0.12,0.93,66,2223.83,16.89
S23,S,1600,4.48,0.53,1.45,12.32,54.18,0.15,0.68,63.86,2615.78,1.94
S25,S,1600,4.53,0.42,1.28,11.93,61.05,0.17,0.77,56.96,3216.51,16.38
S26,S,1800,4.96,0.08,2.05,5.4,40.54,0.36,0.83,51.6,293.9,11.64
S27,S,1800,4.97,0.11,1.11,4.66,48.51,0.41,1.41,40.08,454.87,12.46
S30,S,1800,5.04,0.09,1.8,10.36,49.24,0.86,2.12,61.52,257.24,11.78
S32,S,2100,5.04,0.24,1.18,5.64,42.19,0.92,1.22,49.55,307.58,12.2
S33,S,2100,5.09,0.68,1.43,6.47,40.86,0.78,1.2,99,451.35,19.83
S34,S,2100,5.13,0.34,1.27,7.1,46.64,0.68,1.77,63.97,321.78,15.48
