OTU ID,Group,Elevation,pH,SWC,NO3--N,NH4+-N,TN,DON,TC,DOC,TP,AP,MBN,MBC,MBP,AcP,BG,NAG,LAP
T1,T,300,4.87,0.16,3.31,17.98,2.14,5.72,29.41,42.55,0.08,2.4,21.86,454.2,9.84,2770.17,112.86,114.59,9.46
T2,T,300,4.91,0.11,1.89,14.99,2.14,3.89,29.64,31.04,0.09,2.32,4.11,422.29,8.42,2491.6,80.5,179.25,8.65
T3,T,300,4.83,0.14,1.71,13.45,2.25,3.56,30.23,33.47,0.08,2.03,15.92,452.45,8.54,2495.59,99.32,190.56,8.87
T7,T,600,4.85,0.08,6.48,7.56,5.38,12.02,60.66,25.51,0.3,5.15,27.96,585.12,14.38,2707.42,104.2,122.39,9.68
T8,T,600,5.13,0.12,2.58,11.42,3.42,3.81,43.86,22.04,0.22,2.97,47.41,360.89,13.94,2785.45,65.54,103.17,8.97
T10,T,600,5.12,0.05,3.52,8.66,3.44,6.41,34.55,17.41,0.29,3.37,54.87,700.93,14.88,3618.19,96.76,102.79,8.31
T12,T,900,5.1,0.35,2.23,16.47,3.69,5.89,42.3,42.17,0.26,2.76,188.65,1027.8,11.97,4514.36,178.02,127.68,15.83
T13,T,900,5.02,0.28,1.22,18.05,3.89,4.53,45.47,34.71,0.29,3.51,129.99,1358.51,19.91,4717.39,140.46,203.86,15.3
T15,T,900,4.6,0.32,10.43,9.31,3.88,21.14,42.93,17.78,0.27,2.54,73.97,893.49,14.14,1836.58,81.21,64.85,15
T16,T,1200,4.24,0.31,2.16,31.9,5.36,6.74,91.65,68.49,0.2,2.04,78.26,1081.19,29.23,7008.57,593,732.49,17.58
T17,T,1200,4.11,0.27,1.59,17.65,5.81,7.53,68.85,113.28,0.17,3.74,44.4,1149.77,22,7274.03,494.24,433.58,16.01
T18,T,1200,4.51,0.36,3.4,64.53,7.25,11.17,103.29,79.89,0.17,4.72,78.17,1130.92,33.8,7458.21,634.01,728.67,23.28
T22,T,1600,4.05,0.76,1.5,54.56,8.26,10.47,82.58,113.1,0.21,3.64,183.3,2577.42,41.56,9554.72,609.19,614.53,32.58
T23,T,1600,3.84,0.72,1.46,42.14,8.38,11.83,83.81,164.26,0.22,4.19,114.22,1943.22,47.08,10300.19,924.46,965.83,33.12
T25,T,1600,3.94,0.61,3.22,50.39,9.46,9.4,94.62,140.33,0.22,3.62,119.97,2123.77,35.3,9021.5,972.83,1176.61,29.62
T26,T,1800,4.64,0.09,6.38,15.64,5.58,15.99,67.03,19.29,0.53,3.87,112.43,1129.24,33.24,1271.76,61.46,41.62,13.62
T27,T,1800,4.82,0.1,1.71,21.01,7.17,4.5,78.18,26.86,0.67,6.26,138.6,1449.56,48.41,2346.68,73.5,126.23,13.45
T30,T,1800,4.85,0.07,2.57,16.96,6.09,6.84,71.07,28.74,0.48,7.23,126.02,1242.15,46.53,925.12,49.57,60.68,13.78
T32,T,2100,4.92,0.5,1.5,15.38,9.17,5.77,91.66,19.22,1.49,7.02,211.17,2064.67,62.63,1334.92,82.79,94.78,18.71
T33,T,2100,4.82,0.91,1.43,21.2,8.46,4.55,84.62,30.68,1.22,6.1,295.27,3002.52,79.54,1500.04,115.76,117.61,24.16
T34,T,2100,4.89,0.77,1.42,20.8,7.72,4.16,77.21,25.63,0.96,6.01,302.47,2791.88,73.2,1850.6,144.68,95.21,22.09
S1,S,300,4.91,0.18,3.13,13.04,1.6,4.72,22.51,34.22,0.06,1.54,17.74,334.54,6.09,1476.96,67.28,56.21,8.99
S2,S,300,4.88,0.17,1.64,8.54,1.27,2.47,18.16,22.88,0.06,1.22,2.9,231.4,4.32,1156.22,28.45,46.86,8.03
S3,S,300,4.77,0.17,1.52,10,1.31,1.91,19.26,29.46,0.06,1.68,4.13,273,4.58,1968.54,30.87,43.1,8.15
S7,S,600,4.84,0.07,4.07,6.42,4.76,7.19,55.83,24.35,0.33,4.46,30.2,521.21,12.68,1549.2,47.74,74.47,8.68
S8,S,600,5.29,0.07,1.77,8.08,2.89,2.51,34.95,20.51,0.21,2.12,36.54,397.56,8.72,1326.79,33.24,37.99,7.82
S10,S,600,5.22,0.09,1.91,8.23,2.47,2.93,27.48,28.91,0.23,2.44,40.45,558.56,9.1,1916.32,41.21,58.65,8.05
S12,S,900,5.16,0.27,1.65,8.06,2.48,2.8,27.5,18.03,0.25,1.51,63.78,749.58,3.18,1512.98,44.72,49.94,13.16
S13,S,900,5.13,0.27,1.14,9.97,3.32,2.11,35.76,24.04,0.28,1.33,64.21,639.52,12.97,2580.05,52.74,84.61,13.71
S15,S,900,4.71,0.3,4.94,7.87,2.83,8.89,30.72,14.15,0.24,1.74,66.11,755.96,14.07,1187.13,28.85,48.43,13.9
S16,S,1200,4.72,0.25,1.38,8.5,3.1,1.83,28.57,19.04,0.14,0.89,58.06,692.22,8.53,2624.3,59.77,58.77,13.13
S17,S,1200,4.51,0.29,1.55,9.35,3.39,2.78,34.13,34.44,0.13,1.01,39.42,1622.53,9.21,2496.49,69.85,67.61,13.37
S18,S,1200,4.62,0.31,2.1,17.03,3.81,5.48,39.57,31.96,0.14,1.54,59.68,719.63,13.38,2793.11,109.35,159.48,14.71
S22,S,1600,4.74,0.48,1.26,11.91,2.93,2.63,45.22,23.9,0.12,0.93,66,1033.37,3.86,2223.83,39.57,73.76,16.89
S23,S,1600,4.48,0.53,1.45,12.32,4.6,3.98,54.18,34.55,0.15,0.68,63.86,1022.72,9.54,2615.78,47.14,96.23,1.94
S25,S,1600,4.53,0.42,1.28,11.93,4.44,3.21,61.05,35.73,0.17,0.77,56.96,852.63,7.79,3216.51,66.48,59.82,16.38
S26,S,1800,4.96,0.08,2.05,5.4,4.05,2.95,40.54,13.49,0.36,0.83,51.6,592.32,5.88,293.9,9.7,6.88,11.64
S27,S,1800,4.97,0.11,1.11,4.66,4.85,1.54,48.51,14.17,0.41,1.41,40.08,545.63,9.93,454.87,14.95,18.5,12.46
S30,S,1800,5.04,0.09,1.8,10.36,4.92,2.76,49.24,17.26,0.86,2.12,61.52,813.38,19.11,257.24,27.27,25.84,11.78
