"ASV","T1","T2","T3","T7","T8","T10","T12","T13","T15","T16","T17","T18","T22","T23","T25","T26","T27","T30","T32","T33","T34","S1","S2","S3","S7","S8","S10","S12","S13","S15","S16","S17","S18","S22","S23","S25","S26","S27","S30","S32","S34","Domain","Phylum","Class","Order","Family","Genus","Species"
"ASV165",5,2,1,1,0,0,9,7,4,0,0,5,2,0,2,0,0,0,0,0,0,1,0,9,0,2,0,0,0,11,9,0,1,1,1,1,0,0,4,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV262",1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Embata","s__Embata commensalis"
"ASV275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,15,0,0,0,0,2,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV281",0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV329",0,0,0,0,0,0,0,0,0,2,0,0,1,7,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV339",0,2,0,0,3,0,0,2,0,0,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria magnacalcarata"
"ASV352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV394",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV408",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV495",0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,2,0,0,0,0,1,0,14,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Rotaria","s__Rotaria rotatoria"
"ASV521",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,6,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha ligula"
"ASV537",1,1,0,0,0,0,0,1,5,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV540",0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Philodinidae","g__Anomopus","s__Anomopus telphusae"
"ASV557",0,2,0,0,0,0,0,1,0,1,1,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV575",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,8,15,19,0,0,1,6,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Philodinida","f__Habrotrochidae","g__Habrotrocha","s__Habrotrocha constricta"
"ASV613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d__Eukaryota","p__Rotifera","c__Eurotatoria","o__Ploima","f__Flosculariidae","g__Floscularia","s__Floscularia melicerta"
