OTU ID,T1,T2,T3,T7,T8,T10,T12,T13,T15,T16,T17,T18,T22,T23,T25,T26,T27,T30,T32,T33,T34,S1,S2,S3,S7,S8,S10,S12,S13,S15,S16,S17,S18,S22,S23,S25,S26,S27,S30,S32,S34
ASV165,30,13,5,21,0,1,69,34,40,14,6,107,19,1,43,2,0,3,2,0,4,32,0,126,0,53,4,0,1,11,40,0,5,11,34,3,3,0,22,0,0
ASV262,6,9,1,0,0,0,0,3,0,1,7,0,0,30,1,9,106,13,0,4,0,6,1,61,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV275,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,1,18,11,0,0,0,94,0,0,1,0,5,0,0,0,2,0,4,125,0,1,3,0,27,0,0
ASV281,0,0,0,0,0,0,0,0,0,0,0,0,0,286,189,1,1,7,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,23,1,21,0,0,0,0,0
ASV329,0,0,0,0,0,0,0,0,0,49,0,1,32,106,117,1,1,5,0,0,0,12,1,0,11,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0
ASV339,4,3,0,2,25,0,2,28,1,10,43,195,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV352,0,0,0,0,0,0,0,0,0,0,0,0,0,18,86,1,0,9,0,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,2,62,0,0,0,0,0
ASV394,0,0,0,0,0,0,0,0,0,0,0,0,27,75,11,1,0,5,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,27,27,26,0,0,0,0,0
ASV408,1,0,0,0,0,3,0,12,0,25,18,0,0,0,1,1,1,16,1,0,0,0,0,60,2,358,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
ASV495,0,2,0,0,0,0,0,1,0,45,10,55,3,0,1,5,0,0,0,11,15,0,81,0,0,0,0,0,0,2,0,0,62,0,0,0,0,0,1,0,0
ASV521,1,0,0,48,0,0,0,0,0,0,0,0,0,3,4,12,58,231,2,3,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV537,2,2,1,0,0,2,0,10,41,0,1,75,1,0,2,0,22,0,0,1,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,1,0,0,0,0,0
ASV540,0,0,0,0,0,0,0,0,0,3,142,0,0,13,62,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,14,1,152,0,0,0,0,0,0
ASV557,3,2,1,0,0,2,0,10,1,30,8,87,52,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASV575,0,2,0,0,0,1,7,22,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,2,132,32,15,25,43,0,1,1,40,0,0,1,1,0,5,0,0
ASV613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,1,0,122,86,95,3,2,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV823,4,4,1,0,9,1,0,5,0,24,0,0,0,0,97,5,0,0,0,0,0,0,0,71,0,0,0,19,27,2,0,1,25,0,52,1,0,0,2,0,0
ASV962,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV967,0,0,0,0,0,2,0,0,0,43,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,0,1,0,0,153,0,0
ASV977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,26,20,9,113,91,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1017,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,2
ASV1090,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,126,76,13,0,0
ASV1240,0,2,0,1,0,0,0,5,0,4,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
